职位,薪资,公司,城市,区域,街道,经验,学历,领域,规模,性质
c++高级软件工程师,1.3-1.8万,软通动力信息技术(集团)股份有限公司,西安,高新区,鱼化寨,3-5年,本科,互联网,10000人以上,民营
嵌入式软硬件实习生,160-220元/天,西安翔腾微电子科技有限公司,西安,碑林,张家村,无经验,硕士,电子/半导体/集成电路,500-999人,国企
嵌入式硬件工程师,8000-13000元·13薪,西安中和立正电子科技有限公司,西安,未央,谭家,经验不限,本科,物联网,20人以下,民营
嵌入式开发工程师,1.5-2.4万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,大专,互联网,10000人以上,民营
嵌入式软件开发工程师,8000-14000元,乐普医学电子仪器股份有限公司,西安,长安,王寺,经验不限,本科,医疗设备/器械,100-299人,股份制企业
伺服控制软件工程师,1.3-1.6万·13薪,北京航宇创通技术股份有限公司西安分公司,西安,灞桥,席王,1-3年,本科,计算机硬件,300-499人,民营
c++开发工程师,8000-15000元·13薪,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,1-3年,本科,互联网,10000人以上,民营
嵌入式软件开发工程师,2.2-4万,苏州人瑞普惠人力资源服务有限公司,西安,雁塔,漳浒寨,5-10年,本科,互联网,500-999人,上市公司
嵌入式软件开发工程师,1.5-2万,西安伊隆纬特通信科技有限公司,西安,雁塔,杜城,3-5年,本科,通信/网络设备,20-99人,民营
嵌入式驱动开发工程师,1.4-2.2万,软通动力信息技术(集团)股份有限公司,西安,雁塔,丈八沟,3-5年,大专,互联网,10000人以上,民营
嵌入式软件开发工程师,面议,中软国际,西安,高新区,斗门,1-3年,本科,计算机软件,10000人以上,上市公司
嵌入式软件,6000-10000元,西安佳力海电子科技有限公司,西安,雁塔,电子城,1-3年,本科,电子/半导体/集成电路,20人以下,股份制企业
单片机软件开发工程师,7000-12000元·13薪,江苏圣蓝科技有限公司西安研发部,西安,雁塔,丈八沟,1-3年,大专,仪器仪表制造,20-99人,民营
嵌入式工程师（智能穿戴）,1.3-1.8万,重庆市本手科技有限公司,西安,雁塔,漳浒寨,3-5年,本科,互联网,100-299人,民营
嵌入式开发,7000-14000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
嵌入式软件工程师,8000-15000元·13薪,西安乐驰科技有限公司,西安,雁塔,漳浒寨,5-10年,大专,仪器仪表制造,20-99人,民营
嵌入式软件测试工程师,8000-12000元,西安君信电子科技有限责任公司,西安,长安,郭杜,3-5年,本科,电子/半导体/集成电路,100-299人,民营
嵌入式工程师,1-1.6万,四川梓冠光电科技有限公司西安分公司,西安,雁塔,丈八沟,1-3年,本科,电子设备制造,20-99人,民营
嵌入式软件工程师,8000-13000元,西安通海瑞能电子科技有限公司,西安,雁塔,漳浒寨,3-5年,本科,通信/网络设备,100-299人,民营
嵌入式音视频频开发工程师,1.2-1.8万,希诺麦田技术(深圳)有限公司,西安,雁塔,漳浒寨,3-5年,本科,通信/网络设备,100-299人,股份制企业
C语言开发（QT/嵌入式均有）,面议,中软国际,西安,雁塔,漳浒寨,经验不限,本科,计算机软件,10000人以上,上市公司
嵌入式开发（ 24、25应届可投 双休+六险一金）,7000-10000元,西安软玥信息技术有限公司,西安,雁塔,丈八沟,经验不限,本科,计算机软件,20-99人,民营
嵌入式开发（穿戴经验）,1-1.3万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,大专,互联网,10000人以上,民营
应用软件工程师,1-1.8万,知新思明科技(北京)有限公司,西安,雁塔,丈八沟,3-5年,大专,IT服务,20-99人,民营
c语言嵌入式开发工程师,1.3-2.5万,西安博联航空电子科技有限公司,西安,雁塔,丈八沟,3-5年,本科,船舶/航空/航天/火车制造,20-99人,民营
嵌入式系统架构设计师（deepseek）,9000-12000元,陕西上盛少伯材料科技有限公司,西安,雁塔,等驾坡,1-3年,本科,建材,20-99人,民营
嵌入式测试工程师,面议,中软国际,西安,雁塔,丈八沟,3-5年,本科,计算机软件,10000人以上,上市公司
通用软件工程师,面议,华为技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,运营商/增值服务,10000人以上,民营
嵌入式软件开发工程师,1-1.7万,软通动力信息技术(集团)股份有限公司,西安,长安,王寺,1-3年,本科,互联网,10000人以上,民营
H14111岗嵌入式,1-1.7万,武汉佰钧成技术有限责任公司,西安,雁塔,漳浒寨,经验不限,本科,计算机软件,1000-9999人,民营
硬件工程师,2000-4000元,西安信德慧信息技术有限公司,西安,雁塔,等驾坡,经验不限,大专,互联网,20-99人,
嵌入式开发工程师,1-1.5万,西安探索者智能光电科技有限公司,西安,莲湖,桃园路,1-3年,本科,计算机软件,20-99人,民营
嵌入式系统软件工程师,8000-11000元,国力信息,西安,长安,郭杜,3-5年,本科,电子/半导体/集成电路,20-99人,民营
嵌入式软件工程师,7000-12000元·13薪,西安旭彤电子科技股份有限公司,西安,雁塔,丈八沟,1-3年,大专,船舶/航空/航天/火车制造,100-299人,民营
初级嵌入式硬件工程师,7000-12000元,陕西恒光测控技术有限公司,西安,雁塔,丈八沟,1-3年,本科,计算机硬件,20-99人,民营
嵌入式工程师,8000-16000元,西安脉能电子科技有限公司,西安,长安,郭杜,1-3年,大专,电子/半导体/集成电路,20人以下,民营
软件开发工程师,8000-13000元·13薪,西安唐棣自动化科技有限公司,西安,雁塔,电子城,3-5年,大专,仪器仪表制造,20-99人,民营
嵌入式软件工程师,8000-12000元,优尼泰(西安)智能科技有限公司,西安,,汉城,3-5年,本科,电子设备制造,300-499人,民营
C/C++应用开发工程师,1.2-2万,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,经验不限,本科,互联网,10000人以上,民营
软件工程师25届,1.6-3万·14薪,深圳市正浩创新科技股份有限公司,西安,未央,三桥,无经验,本科,互联网,500-999人,港澳台公司
嵌入式开发工程师(J10759),1.3-2.6万,西安诺瓦星云科技股份有限公司,西安,,丈八沟,3-5年,本科,电子/半导体/集成电路,1000-9999人,上市公司
嵌入式软件工程师,1.5-2.5万,陕西华通机电制造有限公司,西安,雁塔,鱼化寨,3-5年,本科,电气机械/电力设备,100-299人,民营
C/C++ /嵌入式开发工程师,1.4-2.8万·14薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
嵌入式软件工程师,1.5-2.2万,西安中科洺光测控技术有限公司,西安,雁塔,丈八沟,3-5年,硕士,船舶/航空/航天/火车制造,20-99人,民营
嵌入式软件工程师,8000-16000元,陕西蓝海电气有限公司,西安,雁塔,丈八沟,1-3年,本科,电气机械/电力设备,20-99人,民营
C/C++嵌入式开发岗位,1.5-3万,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,学历不限,人力资源服务,10000人以上,合资
嵌入式硬件工程师,1-1.6万,成都镭远光电技术有限公司,西安,雁塔,丈八沟,5-10年,本科,电子设备制造,20-99人,民营
嵌入式应用开发（穿戴项目）,1-1.8万,上海然辰网络科技有限公司,西安,雁塔,漳浒寨,1-3年,大专,计算机软件,500-999人,外商独资
H14444岗c驱动开发,9000-14000元,武汉佰钧成技术有限责任公司,西安,雁塔,漳浒寨,经验不限,本科,计算机软件,1000-9999人,民营
嵌入式软件工程师,9000-14000元·14薪,西安庆安航空电子有限公司,西安,莲湖,桃园路,1-3年,本科,电子/半导体/集成电路,100-299人,国企
嵌入式开发工程师,1.1-1.9万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,5-10年,大专,互联网,10000人以上,民营
嵌入式开发-穿戴,1-1.5万,诚迈科技,西安,雁塔,漳浒寨,1-3年,大专,运营商/增值服务,1000-9999人,上市公司
嵌入式工程师,8000-13000元,北京理加联合科技有限公司,西安,未央,草滩,经验不限,本科,环保,20-99人,民营
中级嵌入式硬件工程师,1.5-2.5万,陕西恒光测控技术有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机硬件,20-99人,民营
嵌入式开发工程师,1.5-2.5万,诚迈科技,西安,雁塔,斗门,5-10年,学历不限,运营商/增值服务,1000-9999人,上市公司
嵌入式软件工程师,8000-10000元,中科建兴智能科技(陕西)集团有限公司,西安,雁塔,丈八沟,1-3年,本科,人工智能,20-99人,
中级嵌入式软件工程师,1.3-2.5万,陕西恒光测控技术有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机硬件,20-99人,民营
嵌入式软件工程师,8000-12000元,西安云仪仪器仪表有限公司,西安,雁塔,曲江,1-3年,本科,仪器仪表制造,100-299人,民营
电子与信息工程（嵌入式方向）工程师,9000-10000元,西安中核核仪器股份有限公司,西安,雁塔,大雁塔,1-3年,本科,电子设备制造,100-299人,国企
嵌入式开发,7000-10000元,北方天穹信息技术(西安)有限公司,西安,长安,郭杜,经验不限,硕士,电子/半导体/集成电路,20-99人,国企
汽车嵌入式开发工程师,1-2万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
嵌入式Sensor开发工程师,1.5-2万,无锡凡特物联技术有限公司,西安,雁塔,漳浒寨,1-3年,大专,物联网,20-99人,民营
嵌入式软件工程师,5000-6000元,西安克莱姆电子科技有限公司,西安,雁塔,丈八沟,经验不限,本科,电子/半导体/集成电路,20-99人,民营
嵌入式开发工程师,1.1-1.7万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,本科,互联网,10000人以上,民营
嵌入式开发工程师,1-1.6万,武汉佰钧成技术有限责任公司,西安,长安,漳浒寨,3-5年,本科,计算机软件,1000-9999人,民营
高级嵌入式软件研发工程师,2.5-4万,陕西恒光测控技术有限公司,西安,雁塔,丈八沟,5-10年,本科,计算机硬件,20-99人,民营
嵌入式开发,1.6-1.9万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
嵌入式linux开发工程师,1.2-2万,陕西思安信息网络安全有限公司,西安,雁塔,电子城,3-5年,本科,计算机软件,100-299人,民营
软件工程师,1.6-2.4万,新雷能,西安,长安,郭杜,1-3年,本科,电子/半导体/集成电路,500-999人,股份制企业
嵌入式软件工程师,1.2-1.5万,贵州天义电器有限责任公司,西安,雁塔,丈八沟,经验不限,硕士,船舶/航空/航天/火车制造,1000-9999人,国企
c开发工程师,面议,中软国际,西安,雁塔,鱼化寨,1-3年,本科,计算机软件,10000人以上,上市公司
嵌入式开发工程师,7000-9000元,陕西中电数通科技有限公司,西安,未央,谭家,3-5年,大专,计算机软件,20-99人,民营
嵌入式C,1-1.4万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
嵌入式工程师,1.2-2.2万,陕西创威科技有限公司,西安,长安,韦曲,3-5年,本科,仪器仪表制造,20-99人,民营
嵌入式穿戴开发,1-1.5万,诚迈科技,西安,雁塔,漳浒寨,3-5年,大专,运营商/增值服务,1000-9999人,上市公司
应用软件设计--西安研发中心,1.2-2万,中国电子科技集团公司第十一研究所,西安,长安,王寺,3-5年,本科,电子/半导体/集成电路,1000-9999人,事业单位
STM32单片机工程师,9000-18000元,西安达升科技股份有限公司,西安,灞桥,新筑,3-5年,本科,人工智能,20-99人,民营
嵌入式软件开发工程师,1.3-2.5万,西安获德,西安,碑林,太乙路,3-5年,本科,计算机软件,20-99人,民营
嵌入式linux开发工程师,5000-8000元,西安桥邦智能科技有限公司,西安,雁塔,丈八沟,1-3年,本科,仪器仪表制造,20人以下,股份制企业
linux c++软件工程师,1-2万,陕西天润科技股份有限公司,西安,碑林,文艺路,3-5年,本科,IT服务,500-999人,民营
嵌入式工程师,1-2万,北京易科泰生态技术有限公司,西安,雁塔,,经验不限,本科,贸易/进出口,20-99人,民营
软件开发工程师,1-1.5万,中国航空工业集团公司西安航空计算技术研究所,西安,雁塔,杜城,3-5年,硕士,学术/科研,1000-9999人,事业单位
嵌入式软件工程师,8000-15000元·13薪,西安埃克森电源有限公司,西安,雁塔,丈八沟,1-3年,本科,金属制品业,20-99人,股份制企业
嵌入式开发工程师,7000-10000元·13薪,西安迅华信息科技有限公司,西安,雁塔,丈八沟,经验不限,本科,互联网,20-99人,民营
物联网工程师,8000-16000元·13薪,西安码讯电子信息技术有限公司,西安,雁塔,,经验不限,本科,计算机软件,20-99人,民营
嵌入式软件开发工程师,8000-15000元,中海成(北京)技术有限公司,西安,长安,韦曲,5-10年,本科,计算机软件,20-99人,民营
嵌入式linux开发工程师,1-1.5万,西安通海瑞能电子科技有限公司,西安,雁塔,漳浒寨,5-10年,本科,通信/网络设备,100-299人,民营
嵌入式开发工程师,1.5-2.6万·16薪,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1年以下,本科,互联网,10000人以上,民营
嵌入式系统工程师(无线充/快充),1-1.8万,西安立安微电子有限公司,西安,雁塔,丈八沟,3-5年,本科,电子/半导体/集成电路,20人以下,
嵌入式开发工程师(J11256),1.5-2.2万,西安诺瓦星云科技股份有限公司,西安,,丈八沟,3-5年,本科,电子/半导体/集成电路,1000-9999人,上市公司
C++开发工程师（人工智能机器视觉方向）正式/实习,1.2-2.4万,西安星舟志屹智能科技有限公司,西安,雁塔,等驾坡,3-5年,本科,人工智能,20人以下,其它
上位机软件工程师,1.2-1.8万,北京瑞阳伟业科技有限公司,西安,新城,,5-10年,本科,电子/半导体/集成电路,20-99人,民营
嵌入式软件工程师,1.8-3.5万·13薪,深圳市华聚科学仪器有限公司,西安,雁塔,丈八沟,5-10年,本科,智能硬件,20-99人,民营
嵌入式测试工程师,面议,中软国际,西安,碑林,张家村,3-5年,本科,计算机软件,10000人以上,上市公司
嵌入式开发工程师,1-2万,润和软件,西安,高新区,漳浒寨,3-5年,大专,计算机软件,1000-9999人,上市公司
C/C++软件工程师,8000-15000元,晨曦航空,西安,,丈八沟,经验不限,本科,船舶/航空/航天/火车制造,300-499人,上市公司
单片机/嵌入式软件工程师,8000-15000元,博康集团,西安,雁塔,丈八沟,1-3年,本科,电子/半导体/集成电路,100-299人,民营
嵌入式工程师,1.5-2.5万,深圳智蛋科技有限公司,西安,雁塔,丈八沟,3-5年,本科,互联网,100-299人,民营
嵌入式软件工程师,7000-14000元,天航长鹰(江苏)科技有限公司北京分公司,西安,雁塔,丈八沟,3-5年,本科,船舶/航空/航天/火车制造,100-299人,股份制企业
嵌入式驱动开发工程师,9000-15000元,润和软件,西安,雁塔,鱼化寨,1-3年,本科,计算机软件,1000-9999人,上市公司
嵌入式软件开发工程师,8000-12000元·13薪,西安海泰克医疗科技有限公司,西安,雁塔,鱼化寨,3-5年,本科,零售/批发,20-99人,民营
嵌入式软件工程师,1-2万,北京通嘉宏瑞科技有限公司,西安,雁塔,丈八沟,3-5年,本科,电子/半导体/集成电路,1000-9999人,民营
嵌入式软件工程师,1.5-3万,深圳智微电子科技股份有限公司,西安,未央,张家堡,1-3年,本科,电子/半导体/集成电路,100-299人,民营
嵌入式软件工程师,7000-14000元,亿太特(陕西)科技有限公司,西安,长安,王寺,3-5年,本科,计算机软件,20-99人,其它
嵌入式软件开发工程师,1.4-2.8万,西安华为,西安,雁塔,漳浒寨,经验不限,本科,通信/网络设备,10000人以上,民营
嵌入式开发工程师（音视频编解码）(J11005),1.5-2.8万·14薪,西安诺瓦星云科技股份有限公司,西安,雁塔,鱼化寨,3-5年,本科,电子/半导体/集成电路,1000-9999人,上市公司
mcu开发工程师,面议,中软国际,西安,雁塔,鱼化寨,1-3年,本科,计算机软件,10000人以上,上市公司
嵌入式软件工程师,8000-15000元,陕西鑫带路电子科技有限公司,西安,长安,郭杜,3-5年,本科,医疗设备/器械,20-99人,民营
嵌入式驱动工程师,1.5-3万·13薪,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,3-5年,本科,互联网,10000人以上,民营
嵌入式软件开发工程师,8000-12000元·13薪,西安晶品防务科技有限公司,西安,雁塔,曲江,3-5年,本科,电子设备制造,20-99人,上市公司
linux软件开发工程师,1.5-3万,西安索格亚航空科技有限公司,西安,雁塔,电子城,1-3年,本科,计算机软件,20人以下,民营
嵌入式软件工程师,1.5-2.5万,北京计算机技术及应用研究所,西安,长安,韦曲,1-3年,本科,计算机硬件,1000-9999人,事业单位
嵌入式软件工程师,8000-15000元,星硕科技有限公司,西安,雁塔,电子城,1-3年,大专,矿产/采掘,20人以下,民营
嵌入式软件测试工程师,1-1.5万,和利时集团,西安,雁塔,漳浒寨,1-3年,硕士,仪器仪表制造,1000-9999人,上市公司
嵌入式软件工程师,8000-16000元,苏州博尔科技有限公司西安分公司,西安,雁塔,丈八沟,1-3年,本科,工业自动化,20-99人,
嵌入式软件工程师（洛阳）,1-2万,北京中天星控科技开发有限公司,西安,雁塔,丈八沟,3-5年,大专,电子/半导体/集成电路,100-299人,股份制企业
嵌入式开发工程师,1.4-1.8万·16薪,和利时集团,西安,雁塔,丈八沟,无经验,硕士,仪器仪表制造,1000-9999人,上市公司
嵌入式软件开发,面议,华为技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,运营商/增值服务,10000人以上,民营
高级嵌入式软件工程师,1.1-2万,四川梓冠光电科技有限公司西安分公司,西安,雁塔,丈八沟,1-3年,本科,电子设备制造,20-99人,民营
（报警器）上位机开发工程师,6000-12000元,陕西大唐燃气安全科技股份有限公司,西安,临潼,代王,1-3年,本科,电力/水利/热力/燃气,1000-9999人,股份制企业
嵌入式软件开发,面议,华为技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,运营商/增值服务,10000人以上,民营
伺服软件工程师,5000-7000元,浙江航天润博测控技术有限公司,西安,雁塔,电子城,1-3年,本科,船舶/航空/航天/火车制造,100-299人,民营
c++嵌入式开发工程师,1-1.7万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
硬件工程师/PCB设计工程师,2000-4000元,西安信德慧信息技术有限公司,西安,雁塔,等驾坡,经验不限,大专,互联网,20-99人,
嵌入式软件开发工程师,面议,中软国际,西安,雁塔,,经验不限,本科,计算机软件,10000人以上,上市公司
嵌入式工程师,1.5-3万,南京邦工信息科技有限公司,西安,雁塔,漳浒寨,1-3年,大专,IT服务,20人以下,民营
H14265岗C开发,8000-12000元,武汉佰钧成技术有限责任公司,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,1000-9999人,民营
嵌入式软件工程师,9000-14000元,陕西大唐燃气安全科技股份有限公司,西安,未央,汉城,1-3年,本科,电力/水利/热力/燃气,1000-9999人,股份制企业
嵌入式开发工程师,1.5-1.8万·14薪,正昌电子,西安,莲湖,枣园,3-5年,本科,电子/半导体/集成电路,100-299人,股份制企业
C语言开发（QT/嵌入式均有）,面议,中软国际,西安,雁塔,杜城,经验不限,本科,计算机软件,10000人以上,上市公司
嵌入式开发工程师,6000-12000元,西安立安微电子有限公司,西安,雁塔,丈八沟,1-3年,本科,电子/半导体/集成电路,20人以下,
嵌入式软件工程师,1.3-2.5万,上海创景,西安,雁塔,杜城,1-3年,本科,计算机软件,100-299人,民营
嵌入式软件工程师,1.6-2万·15薪,和利时集团,西安,雁塔,漳浒寨,5-10年,本科,仪器仪表制造,1000-9999人,上市公司
软件开发工程师（英语口语）,1.1-1.4万·13薪,江苏泽景汽车电子股份有限公司,西安,雁塔,丈八沟,经验不限,本科,汽车零部件,500-999人,股份制企业
嵌入式测试工程师,9000-11000元,西安正麦科技有限公司,西安,雁塔,杜城,经验不限,本科,计算机软件,20人以下,
嵌入式开发工程师,面议,中软国际,西安,碑林,张家村,3-5年,本科,计算机软件,10000人以上,上市公司
嵌入式应用软件工程师(J12958),1.4-1.6万·15薪,深圳市广和通无线股份有限公司,西安,雁塔,漳浒寨,3-5年,本科,运营商/增值服务,1000-9999人,上市公司
上位机软件工程师,8000-16000元,苏州博尔科技有限公司西安分公司,西安,雁塔,丈八沟,1-3年,本科,工业自动化,20-99人,
嵌入式软件工程师,1-1.5万,北京中科泰佳电子科技有限公司,西安,长安,韦曲,3-5年,本科,计算机硬件,20-99人,民营
嵌入式开发工程师,面议,中软国际,西安,雁塔,杜城,3-5年,本科,计算机软件,10000人以上,上市公司
中级嵌入式工程师,8000-15000元,陕西广泰领新科技股份有限公司,西安,长安,郭杜,3-5年,本科,电子设备制造,100-299人,民营
DSP软件工程师(J11678),1.5-2.5万,广东明阳龙源电力电子有限公司,西安,雁塔,丈八沟,3-5年,硕士,专用设备制造,100-299人,民营
高级嵌入式硬件开发工程师,2.3-3.5万,陕西恒光测控技术有限公司,西安,雁塔,丈八沟,5-10年,本科,计算机硬件,20-99人,民营
嵌入式软件工程师-Linux C,1.5-3万·16薪,和利时集团,西安,雁塔,丈八沟,3-5年,硕士,仪器仪表制造,1000-9999人,上市公司
嵌入式应用软件开发,面议,中软国际,西安,雁塔,杜城,3-5年,本科,计算机软件,10000人以上,上市公司
中级嵌入式软件工程师,1-1.5万,西安腾营信息科技有限公司,西安,雁塔,漳浒寨,3-5年,大专,计算机软件,20-99人,民营
穿戴开发,1.2-1.8万,诚迈科技,西安,雁塔,漳浒寨,3-5年,大专,运营商/增值服务,1000-9999人,上市公司
嵌入式C,1.1-1.6万,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,1-3年,本科,互联网,10000人以上,民营
嵌入式软件工程师,8000-16000元,陕西夸克自控科技有限公司,西安,雁塔,电子城,3-5年,本科,电子/半导体/集成电路,20-99人,民营
嵌入式软件工程师,1.5-2万,同方鼎欣科技股份有限公司,西安,雁塔,电子城,3-5年,本科,IT服务,1000-9999人,股份制企业
嵌入式AI软件工程师,1-1.5万,西安星舟志屹智能科技有限公司,西安,雁塔,等驾坡,3-5年,本科,人工智能,20人以下,其它
嵌入式软硬件工程师,1-2万,西安立欧测控技术有限责任公司,西安,雁塔,丈八沟,3-5年,本科,仪器仪表制造,20人以下,民营
C++开发工程师,1.5-3万,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,3-5年,大专,互联网,10000人以上,民营
嵌入式开发工程师,面议,中软国际,西安,雁塔,,1-3年,本科,计算机软件,10000人以上,上市公司
嵌入式开发工程师,2-2.5万,山东航天电子技术研究所,西安,长安,郭杜,经验不限,硕士,学术/科研,1000-9999人,事业单位
C++/ C嵌入式工程师（西安）,1.2-2.2万,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,3-5年,大专,互联网,10000人以上,民营
C/C++/Java/Python/JS软件开发/算法/数据,1.7-3万·15薪,外企德科数字技术有限公司,西安,雁塔,,经验不限,本科,人力资源服务,10000人以上,合资
嵌入式软件工程师,1.2-2.4万,易事特集团股份有限公司,西安,雁塔,丈八沟,3-5年,本科,电气机械/电力设备,1000-9999人,股份制企业
嵌入式软件开发工程师,1.5-2万,和利时集团,西安,雁塔,漳浒寨,1-3年,硕士,仪器仪表制造,1000-9999人,上市公司
嵌入式软件开发工程师,1.8-3.5万,西安汇智众泽电子科技有限公司,西安,雁塔,杜城,3-5年,本科,计算机软件,20-99人,民营
嵌入式工程师,1-2万,西安立欧测控技术有限责任公司,西安,雁塔,丈八沟,3-5年,本科,仪器仪表制造,20人以下,民营
嵌入式操作系统开发,面议,中软国际,西安,雁塔,丈八沟,3-5年,大专,计算机软件,10000人以上,上市公司
嵌入式软件工程师,1-1.2万·13薪,西安思微传感科技有限公司,西安,长安,王寺,3-5年,本科,船舶/航空/航天/火车制造,20-99人,国企
智慧灯具开发工程师,1-2万,雷特尔电气,西安,雁塔,丈八沟,3-5年,本科,电气机械/电力设备,100-299人,民营
嵌入式软件工程师,1.5-3万,西安高通医疗器械有限公司,西安,未央,草滩,5-10年,大专,医疗设备/器械,300-499人,股份制企业
嵌入式硬件工程师,100-150元/天,西安安泰电子科技有限公司,西安,长安,郭杜,经验不限,本科,电子设备制造,100-299人,民营
嵌入式软件工程师,8000-16000元,西安诚安科技有限公司,西安,雁塔,漳浒寨,3-5年,本科,电子设备制造,20-99人,其它
嵌入式硬件工程师（周末双休）,1-2万,陕西新特恩科技有限公司,西安,雁塔,丈八沟,5-10年,本科,电子/半导体/集成电路,20-99人,民营
嵌入式软件工程师,8000-12000元,陕西天翌科技股份有限公司,西安,雁塔,丈八沟,5-10年,本科,船舶/航空/航天/火车制造,300-499人,股份制企业
嵌入式软件工程师,1.2-2万·14薪,西安瑞新康达医疗科技有限公司,西安,雁塔,鱼化寨,1-3年,硕士,医疗设备/器械,20-99人,民营
软件工程师（含嵌入式开发）,9000-18000元,陕西航天泵阀科技集团有限公司,西安,高陵,崇皇,3-5年,本科,电气机械/电力设备,500-999人,民营
嵌入式软件工程师,1.5-2.5万·15薪,绿能慧充数字技术有限公司,西安,雁塔,丈八沟,5-10年,本科,电子/半导体/集成电路,500-999人,上市公司
应用软件工程师,1.2-1.5万·13薪,西安埃格洛瑞技术有限责任公司,西安,雁塔,电子城,1-3年,本科,云计算/大数据,20人以下,
C/C++,面议,中软国际,西安,雁塔,杜城,经验不限,本科,计算机软件,10000人以上,上市公司
嵌入式软件工程师,8000-14000元·13薪,谷雨云(西安)技术有限公司,西安,未央,建章路,5-10年,大专,仪器仪表制造,20-99人,民营
上位机软件工程师（西安）8-12K,8000-12000元,北京瑞阳伟业科技有限公司,西安,新城,中山门,5-10年,本科,电子/半导体/集成电路,20-99人,民营
嵌入式开发工程师,面议,中软国际,西安,雁塔,漳浒寨,3-5年,本科,计算机软件,10000人以上,上市公司
嵌入式软件开发工程师,1.4-2万,北斗天地股份有限公司,西安,长安,郭杜,3-5年,本科,IT服务,300-499人,国企
嵌入式软件开发工程师,1.2-1.5万,陕西星辰电子技术有限责任公司,西安,长安,郭杜,1-3年,本科,电子/半导体/集成电路,20-99人,民营
嵌入式软件工程师（初级中级）,8000-12000元·13薪,西安天谛伟创探测技术有限公司,西安,雁塔,丈八沟,1-3年,本科,船舶/航空/航天/火车制造,20-99人,民营
嵌入式驱动开发工程师,1.2-2.4万,陕西欣华自动化科技有限公司,西安,雁塔,杜城,1-3年,大专,仪器仪表制造,20人以下,民营
嵌入式C,面议,中软国际,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,10000人以上,上市公司
嵌入式软件工程师,1-2万,西安精准测控有限责任公司,西安,,丈八沟,1-3年,本科,仪器仪表制造,20-99人,民营
单板软件工程师,1.2-1.8万·15薪,绿能慧充数字技术有限公司,西安,雁塔,丈八沟,3-5年,本科,电子/半导体/集成电路,500-999人,上市公司
嵌入式开发工程师,面议,中软国际,西安,雁塔,杜城,1-3年,本科,计算机软件,10000人以上,上市公司
嵌入式开发工程师,1.5-2万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,本科,互联网,10000人以上,民营
嵌入式硬件工程师,1.4-1.8万·13薪,谷雨云(西安)技术有限公司,西安,未央,建章路,5-10年,大专,仪器仪表制造,20-99人,民营
嵌入式软件工程师,1-2万,西安耐威电子科技有限公司,西安,,丈八沟,1-3年,本科,电子/半导体/集成电路,20人以下,民营
嵌入式硬件工程师,6000-12000元,陕西中科启航科技有限公司,西安,长安,兴隆,经验不限,本科,船舶/航空/航天/火车制造,100-299人,
嵌入式开发工程师,面议,中软国际,西安,雁塔,丈八沟,5-10年,本科,计算机软件,10000人以上,上市公司
软件开发工程师,1-1.8万,西安特力科技术股份有限公司,西安,蓝田,洩湖,3-5年,本科,电气机械/电力设备,20-99人,民营
嵌入式单片机工程师,1-2万,西安立欧测控技术有限责任公司,西安,雁塔,丈八沟,3-5年,本科,仪器仪表制造,20人以下,民营
C/C++开发工程师,1.8-3.5万·14薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
嵌入式工程师,1.3-2.6万,西安雷神防务技术有限公司,西安,雁塔,丈八沟,1-3年,本科,电子/半导体/集成电路,20-99人,民营
