职位,薪资,公司,城市,区域,街道,经验,学历,领域,规模,性质
项目商务经理,5000-10000元,科立泰(陕西)技术服务有限公司,西安,未央,汉城,1-3年,本科,金属制品业,20人以下,股份制企业
软件项目经理,1.5-2万,中船泛华(西安)科技有限公司,西安,长安,王寺,3-5年,本科,计算机软件,100-299人,国企
系统集成项目经理,4000-8000元,陕西拙实实业发展有限公司,西安,雁塔,丈八沟,3-5年,大专,通信/网络设备,20-99人,民营
项目经理——万科物业,8000-10000元,万物云空间科技服务股份有限公司,西安,雁塔,曲江,经验不限,大专,物业管理,10000人以上,股份制企业
物业项目主管,4000-5000元,西安丰泰和物业管理服务有限公司,西安,未央,张家堡,3-5年,大专,物业管理,100-299人,民营
项目经理（初级）（工作地点：西安）,6000-8000元,重庆信息通信研究院,西安,长安,王寺,1-3年,本科,通信/网络设备,500-999人,国企
交付项目经理,8000-16000元,山东铭源国际信息发展集团有限公司,西安,碑林,长乐坊,5-10年,本科,互联网,1000-9999人,民营
智能化项目经理（西安）,7000-9000元,上海派尚智能工程有限公司,西安,未央,谭家,3-5年,大专,房地产开发,100-299人,民营
物业项目经理,9000-12000元,阳光壹佰物业发展有限公司,西安,灞桥,十里铺,5-10年,大专,房地产开发,1000-9999人,上市公司
项目经理（园林景观）,1.3-1.6万,上海嘉来景观工程有限公司,西安,长安,郭杜,经验不限,学历不限,房地产开发,300-499人,民营
项目经理（国网信息化）,1.2-2万,北京易用视点科技有限公司,西安,雁塔,丈八沟,5-10年,本科,计算机软件,100-299人,民营
软件项目经理,6000-12000元,西安酷信网络科技有限责任公司,西安,灞桥,新筑,经验不限,本科,计算机软件,20-99人,民营
项目交付经理,1.2-1.8万,北京中科医信科技有限公司,西安,雁塔,丈八沟,5-10年,大专,计算机软件,20-99人,民营
智能化项目经理,6000-12000元,天健达信息技术有限公司,西安,雁塔,丈八沟,5-10年,学历不限,IT服务,20-99人,股份制企业
工程项目经理,8000-16000元,西安全球邦机电工程有限公司,西安,未央,三桥,3-5年,大专,工程施工,20-99人,民营
项目经理,1-1.5万,合众思壮,西安,高新区,,3-5年,本科,运营商/增值服务,1000-9999人,上市公司
项目经理,9000-13000元,西安力勘石油能源科技有限公司,西安,未央,张家堡,经验不限,大专,石油/石化,100-299人,民营
c++软件工程师/项目经理,9000-18000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
项目经理,5000-8000元,吉林市东北电院开元科技有限公司,西安,新城,长乐中路,3-5年,本科,电力/水利/热力/燃气,20-99人,民营
传输线路设计及项目经理,1.1-2.1万,西安中兴精诚通讯有限公司,西安,雁塔,电子城,1-3年,本科,运营商/增值服务,500-999人,股份制企业
项目交付经理(004429),面议,中国移动,西安,雁塔,丈八沟,5-10年,本科,运营商/增值服务,10000人以上,国企
抖音短视频项目经理,6000-10000元,西安市北得龙金属材料有限公司,西安,未央,建章路,3-5年,大专,金属制品业,100-299人,民营
物业项目经理,8000-10000元,西安嘉益房地产开发有限公司,西安,雁塔,长延堡,5-10年,大专,房地产开发,20-99人,民营
项目咨询经理,6000-12000元,融桥咨询有限公司,西安,未央,大明宫,1-3年,大专,专业技术服务,20-99人,民营
项目经理,8000-13000元·13薪,北京天地领信科技有限公司,西安,雁塔,,1-3年,本科,互联网,20-99人,民营
信息化项目经理,7000-10000元,陕西鑫雅图空间信息技术有限公司,西安,长安,韦曲,3-5年,本科,工程施工,100-299人,民营
项目现场管理（日日顺家电项目）,5000-7000元,陕西卓裕医药供应链服务有限公司,西安,临潼,骊山,3-5年,大专,医疗设备/器械,100-299人,民营
软件研发TL,1.5-2万,同烜(深圳)劳务派遣有限公司,西安,新城,太华路,5-10年,大专,人力资源服务,100-299人,民营
项目经理——万科物业,9000-10000元,万物云空间科技服务股份有限公司,西安,雁塔,曲江,经验不限,大专,物业管理,10000人以上,股份制企业
